Runtimes (s)
1: 0.239368
11: 0.23453704200000003
21: 0.23284245800000003
31: 0.22597845799999994
41: 0.2300339159999999
51: 0.23012720799999986
61: 0.23370795899999997
71: 0.23159437500000002
81: 0.22838329099999988
91: 0.2366934999999999
101: 0.23593308299999993
111: 0.22907779099999992
121: 0.23147895899999993
131: 0.22847904099999994
141: 0.2366451249999999
151: 0.23259854199999985
161: 0.2336164169999999
171: 0.23838654200000065
181: 0.230404375
191: 0.23983841700000053
201: 0.23296574999999997
211: 0.22752029100000026
221: 0.23790804199999993
231: 0.2291369999999997
241: 0.23612450000000074
251: 0.23265979200000064
261: 0.23084395800000035
271: 0.2417002909999999
281: 0.23453233300000065
291: 0.22749708300000027
301: 0.23148750000000007
311: 0.22649787499999974
321: 0.23632629200000022
331: 0.23018912499999988
341: 0.22703375000000037
351: 0.23120104200000036
361: 0.2247853329999998
371: 0.23457974999999998
381: 0.2317775409999996
391: 0.2313260830000008
401: 0.23766658400000118
411: 0.23115583399999906
421: 0.2380153749999998
431: 0.23240775000000014
441: 0.22758670800000047
451: 0.23681024999999956
461: 0.23491179200000012
471: 0.23090900000000047
481: 0.23432945899999957
491: 0.22867091600000045
501: 0.2355133330000001
511: 0.23197416699999884
521: 0.23082224999999923
531: 0.2340409999999995
541: 0.22747150000000005
551: 0.23865779099999962
561: 0.2315339999999999
571: 0.22924337500000114
581: 0.23780970799999857
591: 0.22875941699999913
601: 0.2364635419999992
611: 0.23543754199999967
621: 0.22854358400000052
631: 0.23785004199999982
641: 0.23519804200000038
651: 0.22696770900000018
661: 0.23204387500000045
671: 0.23053624999999833
681: 0.23816791600000187
691: 0.2291141250000024
701: 0.2266472499999992
711: 0.23196508299999863
721: 0.22605149999999696
731: 0.23687225000000112
741: 0.23151529099999735
751: 0.22842070799999803
761: 0.2382107910000002
771: 0.22695854099999835
781: 0.23725487499999787
791: 0.23303258299999996
801: 0.22845562499999872
811: 0.2433873329999976
821: 0.23498362499999814
831: 0.23090620899999692
841: 0.2345134999999985
851: 0.232436332999999
861: 0.23615383299999948
871: 0.23381099999999932
881: 0.22777966700000007
891: 0.23136162500000168
901: 0.22541495800000177
911: 0.2363869170000008
921: 0.23719604200000077
931: 0.22872837499999932
941: 0.2345859579999967
951: 0.23571041699999995
961: 0.2288183330000031
971: 0.23035391700000218
981: 0.23233137499999756
991: 0.2355832919999976
1001: 0.23412975000000102
1011: 0.2283820409999997
1021: 0.23430812500000187
1031: 0.2242532500000003
1041: 0.23162666599999682
1051: 0.23713062499999893
1061: 0.22657112499999954
1071: 0.2406624579999992
